# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.63164370E-02     -0.27597429E-01     -0.28212997E-04     -0.12341286E-02
       2     -0.11500571E-01     -0.27597429E-01     -0.55148258E-04     -0.12341286E-02
       3     -0.16535985E-01     -0.27597429E-01     -0.88926809E-04     -0.12341286E-02
       4     -0.19845410E-01     -0.27597429E-01     -0.11179559E-03     -0.12341286E-02
       5     -0.21987786E-01     -0.27597429E-01     -0.13250626E-03     -0.12341286E-02
       6     -0.24420482E-01     -0.27597429E-01     -0.15232755E-03     -0.12341286E-02
       7     -0.25321213E-01     -0.27597429E-01     -0.16894424E-03     -0.12341286E-02
       8     -0.26184323E-01     -0.27597429E-01     -0.18764951E-03     -0.12341286E-02
       9     -0.26719967E-01     -0.27597429E-01     -0.19853248E-03     -0.12341286E-02
      10     -0.27063247E-01     -0.27597429E-01     -0.21264573E-03     -0.12341286E-02
      11     -0.27155706E-01     -0.27597429E-01     -0.23306960E-03     -0.12341286E-02
      12     -0.27238203E-01     -0.27597429E-01     -0.25237916E-03     -0.12341286E-02
      13     -0.27310496E-01     -0.27597429E-01     -0.26982689E-03     -0.12341286E-02
      14     -0.27351749E-01     -0.27597429E-01     -0.28788650E-03     -0.12341286E-02
      15     -0.27398897E-01     -0.27597429E-01     -0.30413056E-03     -0.12341286E-02
      16     -0.27427579E-01     -0.27597429E-01     -0.32702306E-03     -0.12341286E-02
      17     -0.27445399E-01     -0.27597429E-01     -0.35275571E-03     -0.12341286E-02
      18     -0.27458207E-01     -0.27597429E-01     -0.38125822E-03     -0.12341286E-02
      19     -0.27469581E-01     -0.27597429E-01     -0.40592433E-03     -0.12341286E-02
      20     -0.27479044E-01     -0.27597429E-01     -0.42326075E-03     -0.12341286E-02
      21     -0.27488441E-01     -0.27597429E-01     -0.45070541E-03     -0.12341286E-02
      22     -0.27493891E-01     -0.27597429E-01     -0.47628080E-03     -0.12341286E-02
      23     -0.27500232E-01     -0.27597429E-01     -0.49323391E-03     -0.12341286E-02
      24     -0.27505863E-01     -0.27597429E-01     -0.51841150E-03     -0.12341286E-02
      25     -0.27509105E-01     -0.27597429E-01     -0.55918122E-03     -0.12341286E-02
      26     -0.27513219E-01     -0.27597429E-01     -0.58226448E-03     -0.12341286E-02
      27     -0.27516228E-01     -0.27597429E-01     -0.60632423E-03     -0.12341286E-02
      28     -0.27519234E-01     -0.27597429E-01     -0.62882620E-03     -0.12341286E-02
 
# q=  0.00000000E+00  0.25000000E+00  0.25000000E+00  (qpt 4)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.81025136E-02     -0.20524979E-01     -0.20829051E-04     -0.91778157E-03
       2     -0.12480891E-01     -0.20524979E-01     -0.39036129E-04     -0.91778157E-03
       3     -0.16791055E-01     -0.20524979E-01     -0.63151155E-04     -0.91778157E-03
       4     -0.18899783E-01     -0.20524979E-01     -0.84404312E-04     -0.91778157E-03
       5     -0.19688617E-01     -0.20524979E-01     -0.10073900E-03     -0.91778157E-03
       6     -0.20075715E-01     -0.20524979E-01     -0.12088297E-03     -0.91778157E-03
       7     -0.20203136E-01     -0.20524979E-01     -0.13807319E-03     -0.91778157E-03
       8     -0.20294973E-01     -0.20524979E-01     -0.15368733E-03     -0.91778157E-03
       9     -0.20391679E-01     -0.20524979E-01     -0.16516938E-03     -0.91778157E-03
      10     -0.20444392E-01     -0.20524979E-01     -0.17739136E-03     -0.91778157E-03
      11     -0.20455100E-01     -0.20524979E-01     -0.19448545E-03     -0.91778157E-03
      12     -0.20463089E-01     -0.20524979E-01     -0.20997471E-03     -0.91778157E-03
      13     -0.20471939E-01     -0.20524979E-01     -0.22125646E-03     -0.91778157E-03
      14     -0.20476896E-01     -0.20524979E-01     -0.23874289E-03     -0.91778157E-03
      15     -0.20481066E-01     -0.20524979E-01     -0.25423084E-03     -0.91778157E-03
      16     -0.20483502E-01     -0.20524979E-01     -0.27216797E-03     -0.91778157E-03
      17     -0.20485242E-01     -0.20524979E-01     -0.29160593E-03     -0.91778157E-03
      18     -0.20486901E-01     -0.20524979E-01     -0.30789318E-03     -0.91778157E-03
      19     -0.20488919E-01     -0.20524979E-01     -0.32712158E-03     -0.91778157E-03
      20     -0.20490362E-01     -0.20524979E-01     -0.34114442E-03     -0.91778157E-03
      21     -0.20492773E-01     -0.20524979E-01     -0.35941538E-03     -0.91778157E-03
      22     -0.20494159E-01     -0.20524979E-01     -0.37728371E-03     -0.91778157E-03
      23     -0.20495402E-01     -0.20524979E-01     -0.39112038E-03     -0.91778157E-03
      24     -0.20496541E-01     -0.20524979E-01     -0.40453149E-03     -0.91778157E-03
      25     -0.20497372E-01     -0.20524979E-01     -0.43226976E-03     -0.91778157E-03
      26     -0.20498260E-01     -0.20524979E-01     -0.45415736E-03     -0.91778157E-03
      27     -0.20499293E-01     -0.20524979E-01     -0.47028949E-03     -0.91778157E-03
      28     -0.20500168E-01     -0.20524979E-01     -0.48727338E-03     -0.91778157E-03
 
# q=  0.00000000E+00  0.25000000E+00  0.50000000E+00  (qpt 5)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.94619784E-02     -0.31127502E-01     -0.20295632E-04     -0.10670793E-02
       2     -0.16122281E-01     -0.31127502E-01     -0.38471610E-04     -0.10670793E-02
       3     -0.21245878E-01     -0.31127502E-01     -0.52467539E-04     -0.10670793E-02
       4     -0.24861736E-01     -0.31127502E-01     -0.69231615E-04     -0.10670793E-02
       5     -0.26758597E-01     -0.31127502E-01     -0.82502969E-04     -0.10670793E-02
       6     -0.28261930E-01     -0.31127502E-01     -0.98306584E-04     -0.10670793E-02
       7     -0.29084662E-01     -0.31127502E-01     -0.11307199E-03     -0.10670793E-02
       8     -0.29855924E-01     -0.31127502E-01     -0.12719742E-03     -0.10670793E-02
       9     -0.30317483E-01     -0.31127502E-01     -0.13943945E-03     -0.10670793E-02
      10     -0.30648738E-01     -0.31127502E-01     -0.15064360E-03     -0.10670793E-02
      11     -0.30735683E-01     -0.31127502E-01     -0.16775311E-03     -0.10670793E-02
      12     -0.30796969E-01     -0.31127502E-01     -0.18470339E-03     -0.10670793E-02
      13     -0.30853308E-01     -0.31127502E-01     -0.20207158E-03     -0.10670793E-02
      14     -0.30903840E-01     -0.31127502E-01     -0.22304934E-03     -0.10670793E-02
      15     -0.30951991E-01     -0.31127502E-01     -0.24058511E-03     -0.10670793E-02
      16     -0.30975152E-01     -0.31127502E-01     -0.25627484E-03     -0.10670793E-02
      17     -0.30987419E-01     -0.31127502E-01     -0.27559844E-03     -0.10670793E-02
      18     -0.31000126E-01     -0.31127502E-01     -0.29799702E-03     -0.10670793E-02
      19     -0.31008814E-01     -0.31127502E-01     -0.32064962E-03     -0.10670793E-02
      20     -0.31016361E-01     -0.31127502E-01     -0.33943714E-03     -0.10670793E-02
      21     -0.31025611E-01     -0.31127502E-01     -0.35623996E-03     -0.10670793E-02
      22     -0.31031784E-01     -0.31127502E-01     -0.37106553E-03     -0.10670793E-02
      23     -0.31037463E-01     -0.31127502E-01     -0.39248713E-03     -0.10670793E-02
      24     -0.31042369E-01     -0.31127502E-01     -0.40641023E-03     -0.10670793E-02
      25     -0.31045001E-01     -0.31127502E-01     -0.43826554E-03     -0.10670793E-02
      26     -0.31048319E-01     -0.31127502E-01     -0.46634533E-03     -0.10670793E-02
      27     -0.31051539E-01     -0.31127502E-01     -0.48550622E-03     -0.10670793E-02
      28     -0.31053975E-01     -0.31127502E-01     -0.50925490E-03     -0.10670793E-02
 
# q=  0.00000000E+00  0.25000000E+00  0.75000000E+00  (qpt 6)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.90876954E-02     -0.27935483E-01     -0.98682897E-05     -0.12480346E-02
       2     -0.14986545E-01     -0.27935483E-01     -0.18791904E-04     -0.12480346E-02
       3     -0.20170491E-01     -0.27935483E-01     -0.28657850E-04     -0.12480346E-02
       4     -0.23475703E-01     -0.27935483E-01     -0.40296340E-04     -0.12480346E-02
       5     -0.25158626E-01     -0.27935483E-01     -0.51500715E-04     -0.12480346E-02
       6     -0.26035623E-01     -0.27935483E-01     -0.61809398E-04     -0.12480346E-02
       7     -0.26703860E-01     -0.27935483E-01     -0.75488717E-04     -0.12480346E-02
       8     -0.27255918E-01     -0.27935483E-01     -0.94184294E-04     -0.12480346E-02
       9     -0.27615042E-01     -0.27935483E-01     -0.10308772E-03     -0.12480346E-02
      10     -0.27708650E-01     -0.27935483E-01     -0.11476672E-03     -0.12480346E-02
      11     -0.27747500E-01     -0.27935483E-01     -0.13352807E-03     -0.12480346E-02
      12     -0.27777503E-01     -0.27935483E-01     -0.15233395E-03     -0.12480346E-02
      13     -0.27803664E-01     -0.27935483E-01     -0.18448532E-03     -0.12480346E-02
      14     -0.27826605E-01     -0.27935483E-01     -0.21227215E-03     -0.12480346E-02
      15     -0.27838654E-01     -0.27935483E-01     -0.24337880E-03     -0.12480346E-02
      16     -0.27848096E-01     -0.27935483E-01     -0.26661334E-03     -0.12480346E-02
      17     -0.27853565E-01     -0.27935483E-01     -0.29200442E-03     -0.12480346E-02
      18     -0.27858468E-01     -0.27935483E-01     -0.31324014E-03     -0.12480346E-02
      19     -0.27863419E-01     -0.27935483E-01     -0.33700518E-03     -0.12480346E-02
      20     -0.27867536E-01     -0.27935483E-01     -0.35446151E-03     -0.12480346E-02
      21     -0.27873197E-01     -0.27935483E-01     -0.37558906E-03     -0.12480346E-02
      22     -0.27876472E-01     -0.27935483E-01     -0.40003004E-03     -0.12480346E-02
      23     -0.27880182E-01     -0.27935483E-01     -0.42368971E-03     -0.12480346E-02
      24     -0.27882728E-01     -0.27935483E-01     -0.44904436E-03     -0.12480346E-02
      25     -0.27884188E-01     -0.27935483E-01     -0.48059741E-03     -0.12480346E-02
      26     -0.27886365E-01     -0.27935483E-01     -0.51600191E-03     -0.12480346E-02
      27     -0.27888281E-01     -0.27935483E-01     -0.53740582E-03     -0.12480346E-02
      28     -0.27889873E-01     -0.27935483E-01     -0.56828996E-03     -0.12480346E-02
 
# q=  0.00000000E+00  0.50000000E+00  0.50000000E+00  (qpt 7)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.85084758E-02     -0.33969676E-01     -0.15247297E-04     -0.11373061E-02
       2     -0.14694082E-01     -0.33969676E-01     -0.26192960E-04     -0.11373061E-02
       3     -0.20700998E-01     -0.33969676E-01     -0.37857782E-04     -0.11373061E-02
       4     -0.24721277E-01     -0.33969676E-01     -0.50282385E-04     -0.11373061E-02
       5     -0.27118634E-01     -0.33969676E-01     -0.59248454E-04     -0.11373061E-02
       6     -0.29281439E-01     -0.33969676E-01     -0.70512972E-04     -0.11373061E-02
       7     -0.30408546E-01     -0.33969676E-01     -0.84835097E-04     -0.11373061E-02
       8     -0.31451033E-01     -0.33969676E-01     -0.10000110E-03     -0.11373061E-02
       9     -0.32275387E-01     -0.33969676E-01     -0.10823865E-03     -0.11373061E-02
      10     -0.32750317E-01     -0.33969676E-01     -0.11610940E-03     -0.11373061E-02
      11     -0.32996338E-01     -0.33969676E-01     -0.13341440E-03     -0.11373061E-02
      12     -0.33078343E-01     -0.33969676E-01     -0.15260291E-03     -0.11373061E-02
      13     -0.33237448E-01     -0.33969676E-01     -0.17814144E-03     -0.11373061E-02
      14     -0.33365818E-01     -0.33969676E-01     -0.20042214E-03     -0.11373061E-02
      15     -0.33581865E-01     -0.33969676E-01     -0.22170386E-03     -0.11373061E-02
      16     -0.33641306E-01     -0.33969676E-01     -0.24515769E-03     -0.11373061E-02
      17     -0.33679812E-01     -0.33969676E-01     -0.26850973E-03     -0.11373061E-02
      18     -0.33711172E-01     -0.33969676E-01     -0.28577225E-03     -0.11373061E-02
      19     -0.33726256E-01     -0.33969676E-01     -0.31078047E-03     -0.11373061E-02
      20     -0.33746573E-01     -0.33969676E-01     -0.32903619E-03     -0.11373061E-02
      21     -0.33763702E-01     -0.33969676E-01     -0.34738337E-03     -0.11373061E-02
      22     -0.33778633E-01     -0.33969676E-01     -0.36537789E-03     -0.11373061E-02
      23     -0.33790013E-01     -0.33969676E-01     -0.39047676E-03     -0.11373061E-02
      24     -0.33804770E-01     -0.33969676E-01     -0.40726076E-03     -0.11373061E-02
      25     -0.33810554E-01     -0.33969676E-01     -0.44098419E-03     -0.11373061E-02
      26     -0.33815537E-01     -0.33969676E-01     -0.47225369E-03     -0.11373061E-02
      27     -0.33822038E-01     -0.33969676E-01     -0.49146542E-03     -0.11373061E-02
      28     -0.33826547E-01     -0.33969676E-01     -0.51975743E-03     -0.11373061E-02
 
# q=  0.25000000E+00  0.50000000E+00  0.75000000E+00  (qpt 8)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.95488270E-02     -0.36885555E-01     -0.26181340E-04     -0.10614180E-02
       2     -0.16086800E-01     -0.36885555E-01     -0.53777519E-04     -0.10614180E-02
       3     -0.21524615E-01     -0.36885555E-01     -0.83894044E-04     -0.10614180E-02
       4     -0.25571974E-01     -0.36885555E-01     -0.10515569E-03     -0.10614180E-02
       5     -0.28342623E-01     -0.36885555E-01     -0.12499112E-03     -0.10614180E-02
       6     -0.30239952E-01     -0.36885555E-01     -0.14862072E-03     -0.10614180E-02
       7     -0.31679766E-01     -0.36885555E-01     -0.16569742E-03     -0.10614180E-02
       8     -0.33057468E-01     -0.36885555E-01     -0.18135485E-03     -0.10614180E-02
       9     -0.34108193E-01     -0.36885555E-01     -0.19231904E-03     -0.10614180E-02
      10     -0.34677157E-01     -0.36885555E-01     -0.20493950E-03     -0.10614180E-02
      11     -0.35096723E-01     -0.36885555E-01     -0.22536555E-03     -0.10614180E-02
      12     -0.35445698E-01     -0.36885555E-01     -0.24429100E-03     -0.10614180E-02
      13     -0.35754998E-01     -0.36885555E-01     -0.26286718E-03     -0.10614180E-02
      14     -0.36008933E-01     -0.36885555E-01     -0.28133358E-03     -0.10614180E-02
      15     -0.36202020E-01     -0.36885555E-01     -0.29872595E-03     -0.10614180E-02
      16     -0.36342686E-01     -0.36885555E-01     -0.32141486E-03     -0.10614180E-02
      17     -0.36386598E-01     -0.36885555E-01     -0.34273095E-03     -0.10614180E-02
      18     -0.36446114E-01     -0.36885555E-01     -0.36387332E-03     -0.10614180E-02
      19     -0.36493466E-01     -0.36885555E-01     -0.38975651E-03     -0.10614180E-02
      20     -0.36531901E-01     -0.36885555E-01     -0.40404509E-03     -0.10614180E-02
      21     -0.36568484E-01     -0.36885555E-01     -0.42661782E-03     -0.10614180E-02
      22     -0.36592900E-01     -0.36885555E-01     -0.45348894E-03     -0.10614180E-02
      23     -0.36619813E-01     -0.36885555E-01     -0.46828175E-03     -0.10614180E-02
      24     -0.36640769E-01     -0.36885555E-01     -0.48780815E-03     -0.10614180E-02
      25     -0.36648596E-01     -0.36885555E-01     -0.51797080E-03     -0.10614180E-02
      26     -0.36657196E-01     -0.36885555E-01     -0.54435983E-03     -0.10614180E-02
      27     -0.36666371E-01     -0.36885555E-01     -0.56159621E-03     -0.10614180E-02
      28     -0.36673507E-01     -0.36885555E-01     -0.58129256E-03     -0.10614180E-02
 
